Query,Db_Name,Id_List,Citation_Cnts
GABA AND GABRA2[tiab],pubmed,26075969,7
GABA AND GABRA2[tiab],pubmed,20716301,9
GABA AND GABRA2[tiab],pubmed,25514066,5
GABA AND GABRA2[tiab],pubmed,24975023,37
GABA AND GABRA2[tiab],pubmed,24811113,14
GABA AND GABRA2[tiab],pubmed,16961766,109
GABA AND GABRA2[tiab],pubmed,23692184,23
GABA AND GABRA2[tiab],pubmed,24557088,17
GABA AND GABRA2[tiab],pubmed,25307596,20
GABA AND GABRA2[tiab],pubmed,24166645,17
GABA AND GABRA2[tiab],pubmed,25365806,8
GABA AND GABRA2[tiab],pubmed,23974430,20
GABA AND GABRA2[tiab],pubmed,23712313,60
GABA AND GABRA2[tiab],pubmed,23566244,25
GABA AND GABRA2[tiab],pubmed,23561058,34
GABA AND GABRA2[tiab],pubmed,23062450,14
GABA AND GABRA2[tiab],pubmed,22129841,7
GABA AND GABRA2[tiab],pubmed,22047728,27
GABA AND GABRA2[tiab],pubmed,20698837,37
GABA AND GABRA2[tiab],pubmed,15274050,141
GABA AND GABRA2[tiab],pubmed,21808609,28
GABA AND GABRA2[tiab],pubmed,19833324,57
GABA AND GABRA2[tiab],pubmed,19783384,16
GABA AND GABRA2[tiab],pubmed,19487630,77
GABA AND GABRA2[tiab],pubmed,19672139,21
GABA AND GABRA2[tiab],pubmed,19229201,33
GABA AND GABRA2[tiab],pubmed,18781239,18
GABA AND GABRA2[tiab],pubmed,18361719,12
GABA AND GABRA2[tiab],pubmed,19569404,14
GABA AND GABRA2[tiab],pubmed,17949392,51
GABA AND GABRA2[tiab],pubmed,10843805,2
GABA AND GABRA2[tiab],pubmed,16622805,90
GABA AND GABRA2[tiab],pubmed,16557364,128
GABA AND GABRA2[tiab],pubmed,16562401,61
GABA AND GABRA2[tiab],pubmed,15834213,97
GABA AND GABRA2[tiab],pubmed,11591652,0
GABA AND GABRA3[tiab],pubmed,32565954,5
GABA AND GABRA3[tiab],pubmed,19084931,21
GABA AND GABRA3[tiab],pubmed,24040174,8
GABA AND GABRA3[tiab],pubmed,19087248,12
GABA AND GABRA3[tiab],pubmed,34174930,1
GABA AND GABRA3[tiab],pubmed,18334916,34
GABA AND GABRA3[tiab],pubmed,18690113,15
GABA AND GABRA3[tiab],pubmed,29053855,16
GABA AND GABRA3[tiab],pubmed,21971078,13
GABA AND GABRA3[tiab],pubmed,31788046,4
GABA AND GABRA3[tiab],pubmed,18821008,203
GABA AND GABRA3[tiab],pubmed,9561979,5
GABA AND GABRA3[tiab],pubmed,19842164,9
GABA AND GABRA3[tiab],pubmed,33048398,0
GABA AND GABRA3[tiab],pubmed,33240041,2
GABA AND GABRA3[tiab],pubmed,34780749,0
GABA AND GABRA3[tiab],pubmed,33062411,5
GABA AND GABRA3[tiab],pubmed,29802853,13
GABA AND GABRA3[tiab],pubmed,14751442,2
GABA AND GABRA3[tiab],pubmed,24055488,15
